İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Jagged Edge,108 Dakika,1985,ABD,Richard Marquand,Dram  Gerilim  Gizem,Jagged Edge
Juhyô No Yoromeki,97 Dakika,1968,Japonya,Yoshishige Yoshida,Dram  Romantik,Affair in the Snow
Onna No Mizûmi,102 Dakika,1966,Japonya,Yoshishige Yoshida,Dram,Woman of the Lake
Les Misérables,210 Dakika,1958,Almanya  Fransa  İtalya,Jean-Paul Le Chanois,Dram,Les Misérables
Keeping the Faith – Aramızdaki Sarışın,128 Dakika,2000,ABD,Edward Norton,Dram  Komedi  Romantik,Keeping the Faith
Welcome to Sarajevo – Saraybosna’ya Hoşgeldiniz,103 Dakika,1997,ABD  Birleşik Krallık,Michael Winterbottom,Dram  Savaş,Welcome to Sarajevo
Sharpe’s Peril,102 Dakika,2008,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Peril
Sharpe’s Challenge,138 Dakika,2007,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Challenge
Sharpe’s Honour,101 Dakika,1994,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Honour
Sharpe’s Enemy,90 Dakika,1994,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Enemy
Sharpe’s Company,100 Dakika,1994,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Company
Sharpe’s Eagle,100 Dakika,1993,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Eagle
Sharpe’s Rifles,102 Dakika,1993,Birleşik Krallık,Tom Clegg,Aksiyon  Dram  Macera  Savaş  Tarih,Sharpe's Rifles
Two Arabian Knights – İki Arap Şövalyesi,92 Dakika,1927,ABD,Lewis Milestone,Komedi  Macera  Romantik,Two Arabian Knights
Fireproof,122 Dakika,2008,ABD,Alex Kendrick,Dram  Fantastik  Romantik,Fireproof
Kanojo To Kare,109 Dakika,1963,Japonya,Susumu Hani,Dram,She and He
Les Bien-aimés – Sevgililer,139 Dakika,2011,Birleşik Krallık  Çekya  Fransa,Christophe Honoré,Dram  Müzik  Romantik,Beloved
The Great Gatsby – Muhteşem Gatsby,144 Dakika,1974,ABD,Jack Clayton,Dram  Romantik,The Great Gatsby
Eat Pray Love – Ye Dua Et Sev,133 Dakika,2010,ABD,Ryan Murphy,Biyografi  Dram  Romantik,Eat Pray Love
Mutiny on the Bounty – Denizde İsyan,132 Dakika,1935,ABD,Frank Lloyd,Biyografi  Dram  Macera  Romantik  Tarih,Mutiny on the Bounty
Always – Daima,122 Dakika,1989,ABD,Steven Spielberg,Dram  Fantastik  Romantik,Always
Tikhiy Don – Ve Durgun Akardı Don,330 Dakika,1957,SSCB,Sergei Gerasimov,Dram  Savaş  Tarih,And Quiet Flows the Don
Ladder 49 – Ekip 49,115 Dakika,2004,ABD,Jay Russell,Aksiyon  Dram  Gerilim,Ladder 49
Aelita,111 Dakika,1924,SSCB,Yakov Protazanov,Bilim Kurgu  Dram  Fantastik  Komedi  Macera  Romantik,Queen of Mars
The Hunchback of Notre Dame – Notre Dame’ın Kamburu,91 Dakika,1996,ABD,Gary Trousdale,Aile  Animasyon  Dram  Müzik  Romantik,The Hunchback of Notre Dame
Princess Cyd – Prenses Cyd,96 Dakika,2017,ABD,Stephen Cone,Dram  Romantik,Princess Cyd
Gece Yolculuğu,100 Dakika,1987,Türkiye,Ömer Kavur,Dram,Gece Yolculuğu
The Swarm – Vahşi Arılar,116 Dakika,1978,ABD,Irwin Allen,Gerilim  Korku,The Swarm
Horí Má Panenko – Koşun İtfaiyeciler,73 Dakika,1967,Çekoslovakya  İtalya,Miloš Forman,Dram  Komedi,The Firemen's Ball
Non Credo Più All’amore (La Paura) – Korku,75 Dakika,1954,Almanya  İtalya,Roberto Rossellini,Dram,Fear
Nine 1/2 Weeks – Dokuz Buçuk Hafta,117 Dakika,1986,ABD,Adrian Lyne,Dram  Romantik,Nine 1/2 Weeks
Backdraft 2 – Alev Kapanı 2,101 Dakika,2019,ABD  Belçika,Gonzalo López-Gallego,Aksiyon  Dram  Gerilim  Suç,Backdraft 2
Backdraft – Alev Kapanı,137 Dakika,1991,ABD,Ron Howard,Aksiyon  Dram  Gerilim  Gizem  Suç,Backdraft
Pilátus,74 Dakika,2020,Macaristan,Linda Dombrovszky,Dram,Pilate
The Jazz Singer – Caz Şarkıcısı,88 Dakika,1927,ABD,Alan Crosland,Dram  Müzik  Romantik,The Jazz Singer
The Big Parade – Büyük Resmigeçit,151 Dakika,1925,ABD,King Vidor,Dram  Romantik  Savaş,The Big Parade
Thieves Like Us – Bizim Gibi Hırsızlar,123 Dakika,1974,ABD,Robert Altman,Dram  Romantik  Suç,Thieves Like Us
Popeye – Temel Reis,114 Dakika,1980,ABD,Robert Altman,Aile  Fantastik  Komedi  Macera  Müzik  Romantik,Popeye
Vincent & Theo,140 Dakika,1990,Almanya  Birleşik Krallık  Fransa  Hollanda  İtalya,Robert Altman,Biyografi  Dram,Vincent & Theo
Only Angels Have Wings – Melekler Kanatlı Olur,121 Dakika,1939,ABD,Howard Hawks,Dram  Macera  Romantik,Only Angels Have Wings
Basic Instinct 2 – Temel İçgüdü 2,114 Dakika,2006,ABD  Almanya  Birleşik Krallık,Michael Caton-Jones,Dram  Gerilim  Gizem,Basic Instinct 2
Basic Instinct – Temel İçgüdü,127 Dakika,1992,ABD  Fransa,Paul Verhoeven,Dram  Gerilim  Gizem,Basic Instinct
That Cold Day in the Park,113 Dakika,1969,ABD  Kanada,Robert Altman,Dram  Gerilim,That Cold Day in the Park
Countdown – Feza Yarışı,101 Dakika,1967,ABD,Robert Altman,Bilim Kurgu  Gerilim,Countdown
The Secret Life of Walter Mitty – Rüyalar Peşinde,110 Dakika,1947,ABD,Norman Z. McLeod,Fantastik  Komedi  Romantik,The Secret Life of Walter Mitty
Fehér isten – Beyaz Tanrı,121 Dakika,2014,Almanya  İsveç  Macaristan,Kornél Mundruczó,Dram  Fantastik  Gerilim  Gizem  Komedi  Korku,White God
Szelíd Teremtés – A Frankenstein-Terv – Duyarlı Evlat: Frankenstein Projesi,109 Dakika,2010,Almanya  Avusturya  Macaristan,Kornél Mundruczó,Dram,Tender Son  The Frankenstein Project
The Rainmaker – Yağmurcu,121 Dakika,1956,ABD,Joseph Anthony,Romantik  Western,The Rainmaker
The Rainmaker – Yağmurcu,135 Dakika,1997,ABD,Francis Ford Coppola,Dram  Gerilim  Suç,The Rainmaker
Clash of the Titans – Son Emir: Cennetin Kapısı,118 Dakika,1981,ABD,Desmond Davis,Aile  Aksiyon  Fantastik  Macera,Clash of the Titans
The Manchurian Candidate – Casuslara Karşı,126 Dakika,1962,ABD,John Frankenheimer,Dram  Gerilim,The Manchurian Candidate
American Pie Presents: Girls’ Rules – Amerikan Pastası: Kızların Kuralları,95 Dakika,2020,ABD,Mike Elliott,Komedi,American Pie Presents  Girls' Rules
Delta,92 Dakika,2008,Almanya  Macaristan,Kornél Mundruczó,Dram,Delta
Es ist Nicht Leicht Ein Gott Zu Sein,119 Dakika,1989,Almanya  Fransa  İsviçre  SSCB,Peter Fleischmann,Bilim Kurgu  Dram  Macera,Hard to Be a God
Echos Aus Einem Düsteren Reich – Kasvetli Bir Ülkeden Yankılanan Sesler,91 Dakika,1990,Almanya  Fransa,Werner Herzog,Belgesel,Echoes from a Sombre Empire
Ballade Vom Kleinen Soldaten – Küçük Askerin Şarkısı,46 Dakika,1984,Almanya,Werner Herzog,Belgesel  Savaş,Ballad of the Little Soldier
Prêt-à-Porter – Hazır Giyim,133 Dakika,1994,ABD,Robert Altman,Dram  Komedi,Prêt-à-Porter
Glocken aus der Tiefe – Derinden Gelen Çan Sesleri,60 Dakika,1993,ABD  Almanya,Werner Herzog,Belgesel,Glocken aus der Tiefe
Huie’s Predigt – Huie’nin Vaazı,41 Dakika,1981,Almanya,Werner Herzog,Belgesel,Huie's Predigt
Gasherbrum – Der leuchtende Berg – Parlayan Dağ: Gasherbrum,45 Dakika,1985,Almanya,Werner Herzog,Belgesel,Gasherbrum
Wodaabe – Die Hirten der Sonne – Wodaabe – Güneşin Çobanları,52 Dakika,1989,Almanya  Fransa,Werner Herzog,Belgesel,Wodaabe  Herdsmen of the Sun
Werner Herzog: Filmemacher – Werner Herzog: Sinemacı,28 Dakika,1986,Almanya,Werner Herzog,Belgesel  Kısa Film,Portrait Werner Herzog
Letzte Worte – Son Sözler,13 Dakika,1968,Almanya,Werner Herzog,Kısa Film,Last Words
Glaube und Währung – Dr. Gene Scott Fernsehprediger,44 Dakika,1981,Almanya,Werner Herzog,Belgesel,God's Angry Man
Szép Napok,99 Dakika,2002,Macaristan,Kornél Mundruczó,Dram,Pleasant Days
Johanna,86 Dakika,2005,Macaristan,Kornél Mundruczó,Dram  Müzik,Johanna
Summertime – Venedik Tatili,102 Dakika,1955,ABD  Birleşik Krallık,David Lean,Dram  Romantik,Summertime
Woman of the Year – Yılın Kadını,114 Dakika,1942,ABD,George Stevens,Dram  Komedi  Romantik  Spor,Woman of the Year
On Golden Pond – Altın Göl,109 Dakika,1981,ABD,Mark Rydell,Dram,On Golden Pond
The American President – Amerikan Başkanı,114 Dakika,1995,ABD,Rob Reiner,Dram  Komedi  Romantik,The American President
The Lion in Winter – Kış Aslanı,134 Dakika,1968,Birleşik Krallık,Anthony Harvey,Biyografi  Dram  Tarih,The Lion in Winter
Rooster Cogburn – İntikam Peşinde,108 Dakika,1975,ABD,Stuart Millar,Dram  Macera  Western,Rooster Cogburn
De Aanslag – Saldırı,141 Dakika,1986,Hollanda,Fons Rademakers,Dram  Romantik  Savaş  Tarih,The Assault
Desk Set – Bürodaki Sevgili,103 Dakika,1957,ABD,Walter Lang,Komedi  Romantik,Desk Set
Love Affair,108 Dakika,1994,ABD,Glenn Gordon Caron,Dram  Komedi  Romantik,Love Affair
Història De La Meva Mort – Ölümümün Hikayesi,148 Dakika,2013,Fransa  İspanya,Albert Serra,Dram,Story of My Death
Happy Accidents – Hoş Kaza,110 Dakika,2000,ABD,Brad Anderson,Komedi  Romantik,Happy Accidents
Saawariya,142 Dakika,2007,Hindistan,Sanjay Leela Bhansali,Dram  Müzik  Romantik,Saawariya
Il Mercenario – Profesyonel Silah,110 Dakika,1968,İtalya,Sergio Corbucci,Komedi  Western,The Mercenary
Cleopatra – Kleopatra,192 Dakika,1963,ABD  Birleşik Krallık  İsviçre,Joseph L. Mankiewicz,Biyografi  Dram  Romantik  Tarih,Cleopatra
Figures in a Landscape,110 Dakika,1970,Birleşik Krallık,Joseph Losey,Aksiyon  Gerilim,Figures in a Landscape
On a Clear Day You Can See Forever – Tatlım,129 Dakika,1970,ABD,Vincente Minnelli,Dram  Fantastik  Komedi  Müzik  Romantik,On a Clear Day You Can See Forever
Born on the Fourth of July – Doğum Günü 4 Temmuz,145 Dakika,1989,ABD,Oliver Stone,Biyografi  Dram  Savaş,Born on the Fourth of July
Smala Sussie,97 Dakika,2003,İsveç,Ulf Malmros,Gizem  Komedi  Suç,Slim Susie
Becket,148 Dakika,1964,ABD  Birleşik Krallık,Peter Glenville,Biyografi  Dram  Tarih,Becket
00:30 – Zero Dark Thirty – Bin Ladin’i Öldürmek,157 Dakika,2012,ABD,Kathryn Bigelow,Dram  Gerilim  Savaş  Tarih,Zero Dark Thirty
Topkapı,120 Dakika,1964,ABD,Jules Dassin,Gerilim  Komedi  Macera  Suç,Topkapı
Patch Adams,115 Dakika,1998,ABD,Tom Shadyac,Biyografi  Dram  Komedi  Romantik,Patch Adams
The Girl on the Train – Trendeki Kız,112 Dakika,2016,ABD  Hindistan,Tate Taylor,Dram  Gerilim  Gizem  Suç,The Girl on the Train
The Girl on the Train – Trendeki Kız,120 Dakika,2021,Hindistan,Ribhu Dasgupta,Dram  Gerilim  Gizem  Suç,The Girl on the Train
Heaven & Earth – Cennet ve Yeryüzü,140 Dakika,1993,ABD  Fransa,Oliver Stone,Aksiyon  Biyografi  Dram  Savaş  Tarih,Heaven and Earth
The Story of Three Loves – Üç Aşk Hikayesi,122 Dakika,1953,ABD,Vincente Minnelli,Dram  Fantastik  Müzik  Romantik,The Story of Three Loves
Cameraman: The Life and Work of Jack Cardiff,86 Dakika,2010,Birleşik Krallık,Craig McCall,Belgesel  Biyografi,Cameraman  The Life and Work of Jack Cardiff
42nd Street – 42. Cadde,89 Dakika,1933,ABD,Lloyd Bacon,Dram  Komedi  Müzik  Romantik,42nd Street
The Main Event – Büyük Olay,112 Dakika,1979,ABD,Howard Zieff,Komedi  Romantik  Spor,The Main Event
Siedem Kobiet w Róznym Wieku – Farklı Yaşta Yedi Kadın,16 Dakika,1979,Polonya,Krzysztof Kieślowski,Belgesel  Kısa Film,Seven Women of Different Ages
Celui Qui Doit Mourir,122 Dakika,1957,Fransa  İtalya,Jules Dassin,Dram,He Who Must Die
Pierwsza Milosc – İlk Aşk,52 Dakika,1974,Polonya,Krzysztof Kieślowski,Belgesel,First Love
Murarz – Duvar Ustası,18 Dakika,1973,Polonya,Krzysztof Kieślowski,Belgesel  Kısa Film,The Bricklayer
Klaps – Klaket,6 Dakika,1976,Polonya,Krzysztof Kieślowski,Belgesel  Kısa Film,Slate
Batoru Rowaiaru II: Chinkonka – Ölüm Oyunu 2: İntikam,134 Dakika,2003,Japonya,Kenta Fukasaku,Aksiyon  Dram  Gerilim,Battle Royale II  Requiem
The Prince and the Showgirl – Prens ve Şov Kızı,115 Dakika,1957,ABD  Birleşik Krallık,Laurence Olivier,Komedi  Romantik,The Prince and the Showgirl
Nocturama – Paris Yanıyor,130 Dakika,2016,Almanya  Belçika  Fransa,Bertrand Bonello,Dram  Gerilim,Nocturama
The Shoes of the Fisherman – Balıkçının Ayakkabıları,162 Dakika,1968,ABD,Michael Anderson,Dram,The Shoes of the Fisherman
Words on Bathroom Walls,110 Dakika,2020,ABD,Thor Freudenthal,Dram  Romantik,Words on Bathroom Walls
Khartoum – Hartum,134 Dakika,1966,Birleşik Krallık,Basil Dearden,Aksiyon  Dram  Macera  Savaş  Tarih,Khartoum
UHF,97 Dakika,1989,ABD,Jay Levey,Bilim Kurgu  Komedi,UHF
The Devil’s Disciple – Şeytanın Talebesi,83 Dakika,1959,ABD  Birleşik Krallık,Guy Hamilton,Komedi  Romantik  Savaş  Tarih,The Devil's Disciple
Nur eine Frau – Sıradan Bir Kadın,90 Dakika,2019,Almanya,Sherry Hormann,Dram  Suç,A Regular Woman
Bringing Up Baby – Tehlikeli Bebek,102 Dakika,1938,ABD,Howard Hawks,Aile  Komedi  Romantik,Bringing Up Baby
H.M.S. Defiant,101 Dakika,1962,Birleşik Krallık,Lewis Gilbert,Aksiyon  Dram  Savaş  Tarih,H.M.S. Defiant
Pride and Prejudice – Gurur ve Önyargı,118 Dakika,1940,ABD,Robert Z. Leonard,Dram  Romantik,Pride and Prejudice
Nil by Mouth,128 Dakika,1997,Birleşik Krallık,Gary Oldman,Dram,Nil by Mouth
The Bounty – Gemide İsyan,132 Dakika,1984,ABD  Birleşik Krallık,Roger Donaldson,Dram  Macera  Romantik  Tarih,The Bounty
Return to the Blue Lagoon – Mavi Göle Dönüş,102 Dakika,1991,ABD,William A. Graham,Dram  Macera  Romantik,Return to the Blue Lagoon
The Blue Lagoon – Mavi Göl,104 Dakika,1980,ABD,Randal Kleiser,Dram  Macera  Romantik,The Blue Lagoon
Sunset Blvd. – Sunset Bulvarı,110 Dakika,1950,ABD,Billy Wilder,Dram  Kara Film,Sunset Boulevard
Sky Captain and the World of Tomorrow – Sky Captain ve Yarının Dünyası,106 Dakika,2004,ABD  Birleşik Krallık,Kerry Conran,Aksiyon  Bilim Kurgu  Gerilim  Gizem  Macera,Sky Captain and the World of Tomorrow
L’attesa – Bekleyiş,100 Dakika,2015,Fransa  İtalya,Piero Messina,Dram,The Wait
Henry V – V. Henry,137 Dakika,1944,Birleşik Krallık,Laurence Olivier,Biyografi  Dram  Savaş  Tarih,Henry V
Hamlet,154 Dakika,1948,Birleşik Krallık,Laurence Olivier,Dram,Hamlet
Richard III – 3. Richard,161 Dakika,1955,Birleşik Krallık,Laurence Olivier,Biyografi  Dram  Savaş  Tarih,Richard III
The Entertainer – Sahte Tebessüm,96 Dakika,1960,Birleşik Krallık,Tony Richardson,Dram,The Entertainer
Nicholas and Alexandra,183 Dakika,1971,Birleşik Krallık,Franklin J. Schaffner,Biyografi  Dram  Savaş  Tarih,Nicholas and Alexandra
Battle of the Bulge – Tankların Hücumu,147 Dakika,1965,ABD,Ken Annakin,Dram  Savaş  Tarih,Battle of the Bulge
Kelly’s Heroes – Çılgın Savaşcılar,144 Dakika,1970,ABD,Brian G. Hutton,Komedi  Macera  Savaş,Kelly's Heroes
Dracula – Drakula,109 Dakika,1979,ABD  Birleşik Krallık,John Badham,Dram  Korku  Romantik,Dracula
The Eagle Has Landed – Kartal Kondu,135 Dakika,1976,Birleşik Krallık,John Sturges,Dram  Gerilim  Macera  Savaş,The Eagle Has Landed
Closing the Ring – Kayıp Yüzük,118 Dakika,2007,ABD  Birleşik Krallık  Kanada,Richard Attenborough,Dram  Romantik,Closing the Ring
Oh! What a Lovely War – Oh! Bu Ne Güzel Savaş!,144 Dakika,1969,Birleşik Krallık,Richard Attenborough,Komedi  Müzik  Savaş,Oh! What a Lovely War
Un Taxi Pour Tobrouk,95 Dakika,1961,Almanya  Fransa  İspanya,Denys de La Patellière,Dram  Savaş,Taxi for Tobruk
Midway – Pasifik Savaşları,132 Dakika,1976,ABD,Jack Smight,Aksiyon  Dram  Savaş  Tarih,Midway
The Bridge at Remagen – Ecel Köprüsü,115 Dakika,1969,ABD,John Guillermin,Aksiyon  Dram  Savaş,The Bridge at Remagen
Grey Owl – Gri Baykuş,118 Dakika,1999,Birleşik Krallık  Kanada,Richard Attenborough,Biyografi  Dram  Western,Grey Owl
Von Ryan’s Express – Fedailer Treni,117 Dakika,1965,ABD,Mark Robson,Aksiyon  Macera  Savaş,Von Ryan's Express
The Guns of Navarone – Navaron’un Topları,158 Dakika,1961,ABD  Birleşik Krallık,J. Lee Thompson,Aksiyon  Dram  Macera  Savaş,The Guns of Navarone
Battle of Britain – Göklerde Vuruşanlar,132 Dakika,1969,Birleşik Krallık,Guy Hamilton,Aksiyon  Dram  Savaş  Tarih,Battle of Britain
Lemonade Mouth – Limonata Ağzı,103 Dakika,2011,ABD,Patricia Riggen,Aile  Dram  Komedi  Müzik,Lemonade Mouth
History Is Made at Night – Tarih Gece Yazılır,97 Dakika,1937,ABD,Frank Borzage,Dram  Romantik,History Is Made at Night
Below Her Mouth – Dudağının Altında,94 Dakika,2016,Güney Afrika  Kanada,April Mullen,Dram  Romantik,Below Her Mouth
The Suspect,85 Dakika,1944,ABD,Robert Siodmak,Dram  Gerilim,The Suspect
Makai Tenshô – Samurayın Yeniden Dirilişi,122 Dakika,1981,Japonya,Kinji Fukasaku,Aksiyon  Fantastik  Korku,Samurai Reincarnation
Song of the Thin Man,86 Dakika,1947,ABD,Edward Buzzell,Gizem  Komedi  Müzik  Suç,Song of the Thin Man
Wiener-Dog,88 Dakika,2016,ABD,Todd Solondz,Dram  Komedi,Wiener-Dog
Shadow of the Thin Man,97 Dakika,1941,ABD,W.S. Van Dyke,Gizem  Komedi  Suç,Shadow of the Thin Man
The Thin Man Goes Home,100 Dakika,1944,ABD,Richard Thorpe,Gizem  Komedi  Romantik  Suç,The Thin Man Goes Home
I Can’t Think Straight,82 Dakika,2008,Birleşik Krallık,Shamim Sarif,Dram  Romantik,I Can't Think Straight
Harvie Krumpet,23 Dakika,2003,Avustralya,Adam Elliot,Animasyon  Dram  Kısa Film  Komedi,Harvie Krumpet
Akô-jô Danzetsu,159 Dakika,1978,Japonya,Kinji Fukasaku,Aksiyon  Dram  Macera  Tarih,The Fall of Ako Castle
Gunki Hatameku Motoni,96 Dakika,1972,Japonya,Kinji Fukasaku,Dram  Gizem  Savaş,Under the Flag of the Rising Sun
Four Weddings and a Funeral – Dört Nikah Bir Cenaze,117 Dakika,1994,Birleşik Krallık,Mike Newell,Dram  Komedi  Romantik,Four Weddings and a Funeral
Habitación en Roma – Ateşli Oda,107 Dakika,2010,İspanya,Julio Medem,Dram  Romantik,Room in Rome
Safety Last! – Güvenlik Sonra Gelir,74 Dakika,1923,ABD,Fred C. Newmeyer,Aksiyon  Gerilim  Komedi,Safety Last!
Steamboat Bill Jr. – Bill’in Buharlı Gemisi,70 Dakika,1928,ABD,Buster Keaton,Aile  Aksiyon  Dram  Komedi  Romantik,Steamboat Bill Jr.
Kyss Mig – Öp Beni,105 Dakika,2011,İsveç,Alexandra-Therese Keining,Dram  Romantik,Kiss Me
Gli Ultimi Giorni di Pompei – Pompei’nin Son Günleri,93 Dakika,1959,Almanya  İspanya  İtalya  Monako,Mario Bonnard,Aksiyon  Macera  Romantik  Tarih,The Last Days of Pompeii
Shrek Forever After – Şrek: Sonsuza Dek Mutlu,93 Dakika,2010,ABD,Mike Mitchell,Aile  Animasyon  Fantastik  Komedi  Macera  Romantik,Shrek 4
Shrek the Third – Şrek 3,93 Dakika,2007,ABD,Chris Miller,Aile  Animasyon  Fantastik  Komedi  Macera,Shrek 3
Shrek 2 – Şrek 2,93 Dakika,2004,ABD,Andrew Adamson,Aile  Animasyon  Fantastik  Komedi  Macera  Romantik,Shrek 2
Shrek – Şrek,90 Dakika,2001,ABD,Andrew Adamson,Aile  Animasyon  Fantastik  Komedi  Macera,Shrek
Yagyû ichizoku No inbô,130 Dakika,1978,Japonya,Kinji Fukasaku,Aksiyon  Dram  Macera,The Shogun's Samurai
Double Trouble – Çifte Bela,91 Dakika,1967,ABD,Norman Taurog,Dram  Komedi  Müzik  Romantik  Suç,Double Trouble
Fukkatsu No Hi,156 Dakika,1980,Japonya,Kinji Fukasaku,Bilim Kurgu  Dram  Gerilim  Korku  Macera,Virus
The Last of the Mohicans – Son Mohikan,73 Dakika,1920,ABD,Clarence Brown,Aksiyon  Dram  Macera,The Last of the Mohicans
Empire of the Ants – Dev Karıncalar İmparatorluğu,89 Dakika,1977,ABD,Bert I. Gordon,Bilim Kurgu  Korku  Macera,Empire of the Ants
The Food of the Gods – Dev Tohumu,88 Dakika,1976,ABD,Bert I. Gordon,Bilim Kurgu  Korku  Macera,The Food of the Gods
Geheimnisse Einer Seele – Bir Ruhun Sırları,97 Dakika,1926,Almanya,G.W. Pabst,Dram,Secrets of a Soul
Sicilia! – Sicilya!,66 Dakika,1999,Almanya  Fransa  İtalya,Danièle Huillet,Dram,Sicily!
Dveselu Putenis,104 Dakika,2019,Letonya,Dzintars Dreibergs,Dram  Savaş  Tarih,Blizzard of Souls
In the Heights,143 Dakika,2021,ABD,Jon M. Chu,Dram  Müzik  Romantik,In the Heights
Gunpowder Milkshake,114 Dakika,2021,ABD  Almanya  Fransa,Navot Papushado,Aksiyon  Gerilim  Macera,Gunpowder Milkshake
The Fugitive Kind – Kaçak,119 Dakika,1960,ABD,Sidney Lumet,Dram  Romantik,The Fugitive Kind
Teresa Venerdi,90 Dakika,1941,İtalya,Vittorio De Sica,Dram  Komedi  Romantik,Teresa Venerdi
My Days of Mercy,108 Dakika,2017,ABD  Birleşik Krallık,Tali Shalom-Ezer,Dram  Romantik,My Days of Mercy
Le Carrosse D’or,103 Dakika,1952,Fransa  İtalya,Jean Renoir,Dram  Komedi  Romantik  Tarih,The Golden Coach
Ben-Hur: A Tale of the Christ – Ben Hur,143 Dakika,1925,ABD  İtalya,Charles Brabin,Dram  Macera  Romantik,Ben-Hur
The Rose Tattoo – Kırmızı Gül,117 Dakika,1955,ABD,Daniel Mann,Dram  Komedi  Romantik,The Rose Tattoo
Jamon Jamon,95 Dakika,1992,İspanya,Bigas Luna,Dram  Komedi  Romantik,Jamon Jamon
Of Love and Shadows – Aşk ve Gölge,105 Dakika,1994,ABD  Arjantin,Betty Kaplan,Dram  Gerilim  Romantik  Savaş,Of Love and Shadows
Stradivari,110 Dakika,1988,İtalya,Giacomo Battiato,Biyografi  Dram,Stradivari
Mamula,94 Dakika,2014,Karadağ  Sırbistan,Milan Todorović,Dram  Fantastik  Gerilim  Korku,Nymph
Volavérunt,90 Dakika,1999,Fransa  İspanya,Bigas Luna,Dram  Gerilim,Volavérunt
Schlafkrankheit – Uyku Hastalığı,91 Dakika,2011,Almanya  Fransa  Hollanda  Kamerun,Ulrich Köhler,Dram,Sleeping Sickness
La Famiglia,127 Dakika,1987,Fransa  İspanya  İtalya,Ettore Scola,Dram  Romantik,The Family
Il Piccolo Diavolo,101 Dakika,1988,İtalya,Roberto Benigni,Fantastik  Komedi  Romantik,The Little Devil
College,66 Dakika,1927,ABD,Buster Keaton,Dram  Komedi  Spor,College
Blue Monkey,96 Dakika,1987,ABD  Kanada,William Fruet,Korku,Blue Monkey
Another Thin Man – Bir Adam Kayboldu,103 Dakika,1939,ABD,W.S. Van Dyke,Gizem  Komedi  Romantik  Suç,Another Thin Man
Killer Fish – Çıplak Güneş,101 Dakika,1979,ABD  Birleşik Krallık  Brezilya  İtalya,Antonio Margheriti,Bilim Kurgu  Gerilim  Korku,Killer Fish
Fortress,85 Dakika,1985,Avustralya,Arch Nicholson,Aksiyon  Gerilim  Macera,Fortress
The Navigator,59 Dakika,1924,ABD,Buster Keaton,Aksiyon  Komedi  Romantik,The Navigator
Mafioso,105 Dakika,1962,İtalya,Alberto Lattuada,Dram  Komedi  Suç,Mafioso
Krótki Dzien Pracy – Kısa İş Günü,73 Dakika,1995,Polonya,Krzysztof Kieślowski,Dram,Short Working Day
